MEASURE,Measure,REGION,Region,INDEX,Index,TSEST,Adjustment Type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,0.1,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,0.5,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,0.7,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,0.9,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,0.4,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,0.2,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,0.5,,
2,Percentage Change from Previous Period,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,0.1,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,0.2,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,1.4,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,0.3,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,0.7,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,0.7,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,1,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,1.2,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,1,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,0.3,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,-0.2,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,0.2,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,0.6,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,1.1,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,0.3,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,0.1,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,1.3,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,0.8,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,0.6,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,0.6,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,0.7,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,0.2,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,0,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,0.7,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,0.7,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,0.4,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,0,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,0.6,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,0.3,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,0.4,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,0.8,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,0.1,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,0.4,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,0.4,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,0.5,,
2,Percentage Change from Previous Period,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,0.1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,0,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,0.5,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,1.1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,0.5,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,0.7,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,0.9,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,1.7,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,0.9,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,0,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,-0.1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,1.5,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,0,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,0.2,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,1.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,0.7,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,0.7,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,0.1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,0.5,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,0.2,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,-0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,0.5,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,0.8,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,0.1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,1.1,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,0.7,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,0.4,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,0.3,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,0.5,,
2,Percentage Change from Previous Period,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,0.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,-0.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,0.9,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,0.8,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,1.2,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,0.9,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,0.4,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,0.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,1.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,1.3,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,0.2,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,0.2,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,0.2,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,1.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,0.3,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,0.6,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,1.2,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,0.7,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,0.7,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,0.8,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,0.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,0.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,0.6,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,0.4,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,-0.6,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,0.3,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,0.4,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,0.4,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,0,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,0,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,0.4,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,0.1,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,0.2,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,0.5,,
2,Percentage Change from Previous Period,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,-0.1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,0.2,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,0.5,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,1.2,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,0.6,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,0.7,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,0.4,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,0.1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,1.3,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,0.9,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,0.8,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,0.1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,0.3,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,-0.4,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,0.7,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,0.4,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,0.3,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,0.4,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,0.9,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,0.5,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,0.4,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,0.1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,0.1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,0.3,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,0.1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,0.6,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,0.9,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,-0.2,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,0,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,0.7,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,0.8,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,0.8,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,0,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,0.3,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,1,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,0.7,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,0.4,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,0.6,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,1.2,,
2,Percentage Change from Previous Period,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,-0.2,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,0.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,1.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,1.9,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,-0.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,0.5,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,0.8,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,-0.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,1.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,0.7,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,-0.4,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,0.4,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,0.8,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,1.3,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,0,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,1.7,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,0.9,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,0.9,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,0.9,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,0.8,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,0.7,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,0.2,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,0.2,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,-0.2,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,0,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,0.4,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,0.3,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,-0.9,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,0.3,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,0.4,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,-0.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,-0.1,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,0.3,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,0.6,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,0.3,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,0,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,0.4,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,0.6,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,0.2,,
2,Percentage Change from Previous Period,7,Darwin,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,-0.8,,
